rnti ts msg Attackornot
132 0.2959725856781006 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Attack
133 0.0 RRCSetupRequest Attack
134 0.2961690425872803 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Attack
135 0.0 RRCSetupRequest Attack
136 0.29198455810546875 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Attack
137 0.0 RRCSetupRequest Attack
138 0.03990030288696289 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
139 0.10074520111083984 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Identityrequest, Identityresponse, Authenticationrequest, Authenticationresponse, Registrationreject" Attack
140 0.041674137115478516 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
141 0.040370941162109375 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
142 0.05957984924316406 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
143 0.07126069068908691 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand" Attack
144 0.00044465065002441406 "RRCSetupRequest, RRCSetup" Attack
145 0.3080282211303711 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeFailure, UECapabilityEnquiry" Attack
146 0.04157686233520508 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
147 0.06854987144470215 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
148 0.07415270805358887 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Identityresponse" Attack
149 0.047109127044677734 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
150 0.046981096267700195 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
151 0.04700589179992676 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
152 0.047003984451293945 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest" Attack
153 0.0019040107727050781 "RRCSetupRequest, RRCSetup" Attack
